Entity,biodiversity_kg,rank
Ale,0.003360077,28.0
Almond butter,0.046488123,152.0
Almond milk,0.009001299,73.0
Almonds,0.048142219,156.0
Apple juice,0.001707215,15.0
Apple pie,0.008637561,71.0
Apples,0.001684822,13.0
Apricot jam,0.008275827,70.0
Asparagus,0.003843574,33.0
Avocados,0.00419438,37.0
Bacon,0.085096014,174.0
Bagels,0.006449232,53.0
Baguette,0.007464258,63.0
Banana loaf,0.0435227,145.0
Bananas,0.044044539,147.0
Beans,0.072332567,168.0
Beef burger,0.335877536,202.0
Beef curry,0.122921325,183.0
Beef meatballs,0.363921379,203.0
Beef mince,0.480174495,207.0
Beef noodles,0.016070594,98.0
Beef steak,0.613172835,209.0
Beer,0.00340905,29.0
Beetroot,0.005163691,43.0
Biscuits,0.117827563,182.0
Blue cheese,0.248981164,199.0
Brazil nuts,0.050033277,158.0
Bread,0.006228946,51.0
Breakfast cereal,0.007565354,65.0
Brie,0.227932655,197.0
Broccoli,0.001621932,12.0
Butter,0.03078018,133.0
Cabbage,0.000288219,3.0
Caesar salad,0.016124727,99.0
Camembert,0.191433838,191.0
Carrot cake,0.016745546,100.0
Carrots,0.000190636,2.0
Cashew nuts,0.047778807,154.0
Cauliflower,0.000357939,5.0
Cereal bars,0.062243474,164.0
Cheddar cheese,0.247478254,198.0
Cheesecake,0.017187374,104.0
Cherry tomatoes,0.001100043,10.0
Chia seeds,0.01911202,109.0
Chicken breast,0.042612825,143.0
Chicken burger,0.026758193,126.0
Chicken curry,0.017088819,102.0
Chicken noodles,0.01328592,87.0
Chicken pasta,0.01564821,95.0
Chicken sausages,0.037167181,139.0
Chicken thighs,0.044838892,150.0
Chicken wings,0.043300037,144.0
Chickpeas,0.072266938,167.0
Chilli con carne,0.129889396,184.0
Chocolate biscuits,0.197718267,194.0
Chocolate cake,0.142833625,185.0
Chocolate cereals,0.076797947,169.0
Chocolate cheesecake,0.148299675,186.0
Chocolate spread,0.179445187,189.0
Cider,0.003174048,24.0
Coconut milk,0.001789305,16.0
Coconut oil,0.002997811,21.0
Cod,0.021841825,115.0
Cod fish fingers,0.021209124,114.0
Cod fishcakes,0.015354397,94.0
Coffee beans,0.444449354,205.0
Coffee pods,0.48816522,208.0
Cookies,0.085082683,173.0
Cottage cheese,0.306745082,201.0
Cottage pie,0.085977322,175.0
Courgettes,0.003861312,34.0
Couscous,0.006711179,55.0
Cow's milk,0.033287265,135.0
Cracker biscuits,0.024274407,122.0
Crisps,0.035296121,137.0
Croissants,0.020549909,113.0
Cucumber,0.00351208,30.0
Dairy-free cheese,0.030075953,129.0
Dairy-free ice cream,0.082902241,172.0
Dark chocolate,1.0,211.0
Doughnuts,0.048306054,157.0
Egg noodles,0.011441094,83.0
Eggs,0.023117617,118.0
Falafels,0.013187332,86.0
Feta cheese,0.177546884,188.0
Flapjack,0.021859687,116.0
Frozen chips (french fries),0.007336099,62.0
Frozen jacket potatoes,0.001610228,11.0
Frozen mashed potato,0.00405207,35.0
Frozen onion rings,0.008823055,72.0
Frozen potato wedges,0.005142181,42.0
Frozen roast potatoes,0.007287991,61.0
Frozen sweet potato fries,0.007636536,66.0
Fruit cake,0.010023054,81.0
Fruit smoothies,0.009769978,78.0
Garden peas,0.012276791,84.0
Goat's cheese,0.226463262,196.0
Granola,0.030164001,130.0
Grapes,0.004489262,39.0
Haddock risotto,0.025864099,124.0
Halloumi cheese,0.196397054,193.0
Ice cream,0.07720373,170.0
Ice lollies,0.014030167,91.0
Instant coffee,0.709907731,210.0
Kale,0.000299708,4.0
Kiwis,0.005937166,48.0
Lamb (leg),0.102514831,178.0
Lamb Hotpot,0.037271176,140.0
Lamb burgers,0.089833468,177.0
