Entity,rank
Ale,16
Almond butter,144
Almond milk,88
Almonds,147
Apple juice,19
Apple pie,71
Apples,15
Apricot jam,99
Asparagus,63
Avocados,67
Bacon,191
Bagels,57
Baguette,73
Banana loaf,100
Bananas,50
Beans,86
Beef burger,205
Beef curry,192
Beef meatballs,202
Beef mince,204
Beef noodles,112
Beef steak,203
Beer,25
Beetroot,59
Biscuits,132
Blue cheese,191
Brazil nuts,166
Bread,55
Breakfast cereal,91
Brie,188
Broccoli,51
Butter,97
Cabbage,32
Caesar salad,87
Camembert,182
Carrot cake,99
Carrots,25
Cashew nuts,163
Cauliflower,32
Cereal bars,142
Cheddar cheese,193
Cheesecake,97
Cherry tomatoes,56
Chia seeds,73
Chicken breast,149
Chicken burger,129
Chicken curry,119
Chicken noodles,102
Chicken pasta,103
Chicken sausages,143
Chicken thighs,153
Chicken wings,153
Chickpeas,108
Chilli con carne,183
Chocolate biscuits,143
Chocolate cake,138
Chocolate cereals,147
Chocolate cheesecake,130
Chocolate spread,167
Cider,51
Coconut milk,59
Coconut oil,43
Cod,161
Cod fish fingers,157
Cod fishcakes,147
Coffee beans,130
Coffee pods,143
Cookies,143
Cottage cheese,198
Cottage pie,178
Courgettes,61
Couscous,79
Cow's milk,104
Cracker biscuits,129
Crisps,132
Croissants,98
Cucumber,58
Dairy-free cheese,137
Dairy-free ice cream,106
Dark chocolate,151
Doughnuts,88
Egg noodles,79
Eggs,145
Falafels,77
Feta cheese,177
Flapjack,104
Frozen chips (french fries),44
Frozen jacket potatoes,17
Frozen mashed potato,27
Frozen onion rings,49
Frozen potato wedges,34
Frozen roast potatoes,63
Frozen sweet potato fries,50
Fruit cake,106
Fruit smoothies,53
Garden peas,106
Goat's cheese,189
Granola,124
Grapes,55
Haddock risotto,139
Halloumi cheese,182
Ice cream,123
Ice lollies,94
Instant coffee,136
Kale,34
Kiwis,90
Lamb (leg),131
Lamb Hotpot,108
Lamb burgers,132
Lamb casserole,131
Lamb chops,131
Lamb curry,115
Lamb moussaka,121
Lasagne sheets,112
Lemons,29
Lentils,110
Lettuce,109
Limes,27
Macaroni cheese,186
Mackerel,169
Marmalade,101
Meat pizza,158
Meat-free burger,78
Meat-free mince,70
Meat-free nuggets,60
Meat-free sausages,74
Melon,79
Milk chocolate,154
Mixed salad,63
Mozzarella cheese,181
Muesli,104
Muffins,102
Mushrooms,128
Naan,62
Nut loaf,90
Oat milk,8
Olive oil,178
Onions,5
Orange juice,27
Oranges,23
Pain au chocolat,106
Pancakes,80
Parmesan cheese,196
Parsnips,30
Pasta shells,79
Peanut butter,155
Peanuts,153
Pears,87
Pecan nuts,164
Penne pasta,106
Peppers,66
Pineapple,89
Pitta bread,34
Popcorn,90
Poppadoms,103
Pork chops,182
Pork loin,181
Pork sausage rolls,153
Pork sausages,171
Porridge (oatmeal),91
Potato croquettes,28
Potatoes,17
Prawn crackers,149
Prawns,145
Protein bar,158
Protein shake,91
Pumpkin seeds,72
Quiche,133
Quinoa,69
Rapeseed oil,97
Raspberries,55
Raspberry jam,111
Rice,137
Rice milk,56
Rice noodles,128
Ricotta cheese,182
Salmon,146
Salmon fishcakes,132
Sausage rolls,150
Shepherd's pie,96
Shortbread biscuits,105
Sourdough bread,57
Soy desert,67
Soy milk,25
Soy yoghurt,29
Spaghetti,101
Spaghetti bolognese,167
Spinach,48
Sponge cake,92
Steak pie,162
Strawberries,92
Strawberry jam,119
Sugar,108
Sunflower oil,122
Sunflower seeds,101
Sweetcorn,45
Tea,138
Tofu,42
Tomato ketchup,85
Tomatoes,50
Tortilla wraps,59
Tuna,166
Vegan pizza,83
Vegetable lasagne,118
Vegetarian chilli con carne,200
Vegetarian curry,200
Vegetarian pizza,200
Walnuts,200
Watermelon,200
Wine,200
Yoghurt,200
