Entity,Emissions per kilogram,Land use per kilogram,Eutrophication per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram,biodiversity_kg
Ale,0.488689869,0.811485184,1.633119747,1891.14853,49.40284164,19.94479042
Almond butter,0.387011308,7.683045154,18.72307474,402211.9608,6846.472597,252.7882214
Almond milk,0.65588754,1.370105856,4.148875594,99916.41729,1246.973783,50.40110767
Almonds,0.60236786,8.230926806,18.59575452,372799.1011,6413.314597,261.718501
Apple juice,0.4583784,0.66062946,1.91165741,3286.829617,122.3183402,11.02117575
Apple pie,1.244973699,1.765164981,6.619579524,8193.821802,396.3874492,48.43732955
Apples,0.507353897,0.668998597,1.205579639,2469.089299,90.3342268,10.90028201
Apricot jam,1.38210509,1.368510217,11.44676674,24526.64769,851.0487646,46.48436817
Asparagus,0.925691817,1.401769469,4.001619922,25692.9286,310.514263,22.55513905
Avocados,0.921227094,1.24893129,2.671237739,32696.89352,367.4142993,24.44910194
Bacon,19.31420901,42.33222878,87.74693881,56859.5195,1649.71129,461.2278507
Bagels,0.8028126,2.26294722,6.05480783,7919.100246,291.3505735,36.6227914
Baguette,0.995644422,2.199087404,8.172196696,9360.781797,345.3077303,42.1027994
Banana loaf,1.868787356,3.272556044,9.283215378,8368.774117,444.2256801,236.7782407
Bananas,0.873349573,2.639823669,3.459988988,331.9107443,52.05077935,239.5955918
Beans,1.373308013,17.06811141,10.76839403,0.69387411,0.083714935,392.3194453
Beef burger,53.97637076,135.3471165,553.3784039,74017.89145,3492.081142,1815.16885
Beef curry,17.36872479,35.40198318,252.9238549,40380.56698,1800.898863,665.4424128
Beef meatballs,70.78747415,214.9953975,355.4323282,51943.57775,2227.989244,1966.574378
Beef mince,95.03457227,295.2535443,428.6949992,56773.19692,2493.946114,2594.211771
Beef noodles,2.290114275,4.0816445,14.94879325,12893.17695,363.200418,88.5674305
Beef steak,129.7477148,427.331126,360.7287949,48932.71275,1954.352984,3312.25473
Beer,0.686283222,0.827887302,2.82115754,2643.640133,122.416368,20.2091909
Beetroot,2.658240643,4.093929839,8.856975535,292.2070192,11.21259709,29.68230054
Biscuits,3.989250537,7.879322971,14.22180394,8143.742321,481.1757316,637.9417681
Blue cheese,20.10575331,23.8921457,67.50139258,39276.25127,1895.349021,1346.025191
Brazil nuts,2.513051436,12.81053501,19.62164854,145555.7417,3270.798559,271.9281091
Bread,0.878760846,2.2412011,6.022548688,7726.016718,241.9135951,35.43349096
Breakfast cereal,1.493427276,2.895190375,9.509492902,12400.22195,502.1027319,42.64860487
Brie,19.13958143,22.45438837,64.2711032,36540.89868,1765.548573,1232.386677
Broccoli,0.897401521,1.003502265,5.100618483,15385.28632,224.9042009,10.56074257
Butter,3.324503183,3.619796747,10.51202006,6142.515252,271.5578884,167.982821
Cabbage,0.890284071,0.802702325,6.198975268,4601.95817,131.3118253,3.360177574
Caesar salad,2.079189343,2.751076023,7.29973604,10911.91153,305.7663358,88.85968911
Camembert,16.28143046,19.04435738,55.35831802,31867.99088,1529.719842,1035.333704
Carrot cake,2.010722007,2.7843686,9.993259127,9749.652841,516.9922559,92.21142044
Carrots,0.935163376,1.601823487,5.891146026,771.322774,14.92984817,2.833339492
Cashew nuts,2.087644251,11.72088162,19.29323346,163311.3154,3504.343642,259.7564814
Cauliflower,0.891726245,0.788343706,5.936602212,5347.111227,136.93994,3.736590806
Cereal bars,2.853384164,5.560588326,13.80581667,27611.28942,843.3729397,337.8495774
Cheddar cheese,20.74904454,24.45103712,70.27357377,40220.71079,1939.913257,1337.911151
Cheesecake,2.369301844,2.5869832,10.01922703,9076.589122,460.784719,94.59679887
Cherry tomatoes,2.26636,0.930353077,6.075514615,7488.009862,318.5652815,7.743123077
Chia seeds,1.2205535,3.4277066,5.994779433,7534.34843,210.9035453,104.987747
Chicken breast,9.272323308,9.220958918,37.36047303,13741.15923,563.9170655,231.8659254
Chicken burger,5.434486846,6.0534075,22.52574303,9788.14259,379.1261941,146.268567
Chicken curry,3.616545986,3.977668291,17.29154263,11147.17667,436.1916329,94.06471329
Chicken noodles,2.383995705,3.312893034,11.32438315,11734.06571,413.2280334,73.53329072
Chicken pasta,2.946764557,3.57544512,12.3718626,10478.90228,309.9990519,86.28702792
Chicken sausages,8.164302486,8.330555241,34.34878474,11978.28066,483.1135861,202.4655134
Chicken thighs,9.981881302,9.851753858,39.86821281,14026.46297,577.2318276,243.8842136
Chicken wings,9.58345622,9.506969857,39.01562611,15450.91957,631.8339507,235.5761084
Chickpeas,1.344352867,15.56560806,9.684822133,9747.767149,161.3853583,391.9651222
Chilli con carne,13.54080492,28.30468467,189.0300262,27501.47005,1255.103151,703.0622407
Chocolate biscuits,5.083679002,13.56542222,16.1294814,8165.851644,524.2583563,1069.262621
Chocolate cake,3.952117878,10.33080759,13.71324612,8974.302038,523.0234054,772.9466611
Chocolate cereals,2.877625559,7.379762668,13.32370599,30695.3546,899.7228276,416.4275242
Chocolate cheesecake,4.900423833,6.511175267,14.9477962,7357.200606,483.7444499,802.4572479
Chocolate spread,5.372300394,9.384214211,22.95709094,42638.17255,1215.291286,970.6083328
Cider,1.081632867,0.905292667,3.187056357,12617.80388,242.7138398,18.94044486
Coconut milk,3.319989782,0.545269026,2.115640842,14423.40928,217.2263567,11.46437233
Coconut oil,0.528741281,0.734497095,6.505340824,6763.57606,345.9897605,17.98896106
