Entity,Emissions per kilogram,Land use per kilogram,Eutrophication per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram,biodiversity_kg
Ale,0.002172400447371232,0.0009746850701157857,0.0007742867623678064,0.004700153405656012,0.007203670074054888,0.0033600766595251502
Almond butter,0.0013874829185383608,0.017069752463082656,0.031724659981889544,1.0000000000765001,1.0000000000112355,0.04648812280650275
Almond milk,0.003463099110464344,0.0022831270253919817,0.005330389012241298,0.24841602321882222,0.18212375743729708,0.009001298532509038
Almonds,0.003049948741730014,0.018353040704880537,0.031494079601250405,0.9268721140104205,0.9367319024102343,0.04814221933425618
Apple juice,0.0019384081179285074,0.0006213398246409346,0.0012787260443363334,0.008170173273010775,0.01785388288212893,0.001707214632600871
Apple pie,0.00801060693949359,0.0032084632327221384,0.009804901015330872,0.02037020989276943,0.057885075051340655,0.008637560921251026
Apples,0.002316479224566235,0.0006409426258424167,6.8033319531562e-13,0.006137061857926449,0.013182206477046519,0.001684822286054283
Apricot jam,0.00906920603344747,0.0022793896037072454,0.018547068329223697,0.06097778912365875,0.12429399853451945,0.008275826823082975
Asparagus,0.005545879435919377,0.002357291842022378,0.005063704985925356,0.063877461524691,0.04534223127191019,0.003843574242860493
Avocados,0.0055114135730116275,0.001999303146302193,0.0026543466754255585,0.08129110827324497,0.0536531872051468,0.004194380441587221
Bacon,0.1474978241927922,0.09822758969458312,0.15672875477880768,0.1413655715435654,0.24094856478348456,0.08509601444198317
Bagels,0.004597301383634018,0.00437440498666232,0.008782084119658458,0.019687181895764974,0.04254313676671513,0.006449232290317074
Baguette,0.006085885365507838,0.0042248278823789,0.012616732934146412,0.023271570672660984,0.050424248653589944,0.0074642578674402145
Banana loaf,0.01282619706281011,0.0067391841829085005,0.01462881797918285,0.02080518605927652,0.06487244192818566,0.04352270014658185
Bananas,0.005141818398764778,0.00525715240820262,0.004082796635879701,0.0008234897862189654,0.007590434214340075,0.04404453942605663
Beans,0.009001296142985974,0.039052137036200085,0.017318516904422505,8.020178832023424e-16,-7.067534579473067e-14,0.07233256702370015
