Entity,rank
Onions,5
Oat milk,8
Apples,15
Ale,16
Frozen jacket potatoes,17
Potatoes,17
Apple juice,19
Oranges,23
Beer,25
Carrots,25
Soy milk,25
Orange juice,27
Limes,27
Frozen mashed potato,27
Potato croquettes,28
Lemons,29
Soy yoghurt,29
Parsnips,30
Cauliflower,32
Cabbage,32
Kale,34
Frozen potato wedges,34
Pitta bread,34
Tofu,42
Coconut oil,43
Frozen chips (french fries),44
Sweetcorn,45
Spinach,48
Frozen onion rings,49
Bananas,50
Frozen sweet potato fries,50
Tomatoes,50
Cider,51
Broccoli,51
Fruit smoothies,53
Raspberries,55
Bread,55
Grapes,55
Rice milk,56
Cherry tomatoes,56
Sourdough bread,57
Bagels,57
Cucumber,58
Beetroot,59
Coconut milk,59
Tortilla wraps,59
Meat-free nuggets,60
Courgettes,61
Naan,62
Mixed salad,63
Frozen roast potatoes,63
Asparagus,63
Peppers,66
Avocados,67
Soy desert,67
Quinoa,69
Meat-free mince,70
Apple pie,71
Pumpkin seeds,72
Chia seeds,73
Baguette,73
Meat-free sausages,74
Falafels,77
Meat-free burger,78
Couscous,79
Melon,79
Egg noodles,79
Pasta shells,79
Pancakes,80
Vegan pizza,83
Tomato ketchup,85
Beans,86
Caesar salad,87
Pears,87
Almond milk,88
Doughnuts,88
Pineapple,89
Popcorn,90
Nut loaf,90
Kiwis,90
Breakfast cereal,91
Protein shake,91
Porridge (oatmeal),91
Sponge cake,92
Strawberries,92
Ice lollies,94
Shepherd's pie,96
Rapeseed oil,97
Cheesecake,97
Butter,97
Croissants,98
Carrot cake,99
Apricot jam,99
Banana loaf,100
Marmalade,101
Sunflower seeds,101
Spaghetti,101
Chicken noodles,102
Muffins,102
Poppadoms,103
Chicken pasta,103
Flapjack,104
Cow's milk,104
Muesli,104
Shortbread biscuits,105
Pain au chocolat,106
Penne pasta,106
Dairy-free ice cream,106
Fruit cake,106
Garden peas,106
Lamb Hotpot,108
Chickpeas,108
Sugar,108
Lettuce,109
Lentils,110
Raspberry jam,111
Beef noodles,112
Lasagne sheets,112
Lamb curry,115
Vegetable lasagne,118
Chicken curry,119
Strawberry jam,119
Lamb moussaka,121
Sunflower oil,122
Ice cream,123
Granola,124
Mushrooms,128
Rice noodles,128
Chicken burger,129
Cracker biscuits,129
Coffee beans,130
Chocolate cheesecake,130
Lamb (leg),131
Lamb chops,131
Lamb casserole,131
Crisps,132
Biscuits,132
Salmon fishcakes,132
Lamb burgers,132
Quiche,133
Instant coffee,136
Dairy-free cheese,137
Rice,137
Tea,138
Chocolate cake,138
Haddock risotto,139
Cereal bars,142
Chicken sausages,143
Chocolate biscuits,143
Cookies,143
Coffee pods,143
Almond butter,144
Eggs,145
Prawns,145
Salmon,146
Cod fishcakes,147
Almonds,147
Chocolate cereals,147
Chicken breast,149
Prawn crackers,149
Sausage rolls,150
Dark chocolate,151
Chicken thighs,153
Peanuts,153
Chicken wings,153
Pork sausage rolls,153
Milk chocolate,154
Peanut butter,155
Cod fish fingers,157
Protein bar,158
Meat pizza,158
Cod,161
Steak pie,162
Cashew nuts,163
Pecan nuts,164
Tuna,166
Brazil nuts,166
Chocolate spread,167
Spaghetti bolognese,167
Mackerel,169
Pork sausages,171
Feta cheese,177
Cottage pie,178
Olive oil,178
Mozzarella cheese,181
Pork loin,181
Halloumi cheese,182
Ricotta cheese,182
Camembert,182
Pork chops,182
Chilli con carne,183
Macaroni cheese,186
Brie,188
Goat's cheese,189
Bacon,191
Blue cheese,191
Beef curry,192
Cheddar cheese,193
Parmesan cheese,196
Cottage cheese,198
Wine,200
Vegetarian chilli con carne,200
Vegetarian curry,200
Vegetarian pizza,200
Vegetarian chilli con carne, 200
Walnuts,200
Watermelon,200
Yoghurt,200
Beef meatballs,202
Beef steak,203
Beef mince,204
Beef burger,205
