Entity,Water withdrawals per kilogram,rank
Ale,0.00720367,17.0
Almond butter,1.0,211.0
Almond milk,0.182123757,168.0
Almonds,0.936731902,210.0
Apple juice,0.017853883,41.0
Apple pie,0.057885075,109.0
Apples,0.013182206,32.0
Apricot jam,0.124293999,157.0
Asparagus,0.045342231,86.0
Avocados,0.053653187,105.0
Bacon,0.240948565,183.0
Bagels,0.042543137,76.0
Baguette,0.050424249,98.0
Banana loaf,0.064872442,115.0
Bananas,0.007590434,20.0
Beans,-7.07e-14,1.0
Beef burger,0.510049529,206.0
Beef curry,0.263031385,187.0
Beef meatballs,0.325413231,195.0
Beef mince,0.36425953,198.0
Beef noodles,0.053037698,103.0
Beef steak,0.285445262,191.0
Beer,0.017868201,42.0
Beetroot,0.001625511,2.0
Biscuits,0.070269455,121.0
Blue cheese,0.276827002,189.0
Brazil nuts,0.477728464,204.0
Bread,0.035322253,65.0
Breakfast cereal,0.073326103,128.0
Brie,0.257868036,185.0
Broccoli,0.03283782,62.0
Butter,0.03965217,71.0
Cabbage,0.019167493,44.0
Caesar salad,0.044648738,82.0
Camembert,0.223422326,178.0
Carrot cake,0.075500903,130.0
Carrots,0.002168462,7.0
Cashew nuts,0.51184062,207.0
Cauliflower,0.019989549,47.0
Cereal bars,0.123172849,155.0
Cheddar cheese,0.283336161,190.0
Cheesecake,0.067291095,117.0
Cherry tomatoes,0.046518182,89.0
Chia seeds,0.030792851,58.0
Chicken breast,0.082354853,135.0
Chicken burger,0.055363855,107.0
Chicken curry,0.06369897,114.0
Chicken noodles,0.060344851,112.0
Chicken pasta,0.045266978,85.0
Chicken sausages,0.070552503,122.0
Chicken thighs,0.084299639,136.0
Chicken wings,0.092274956,140.0
Chickpeas,0.023560105,52.0
Chilli con carne,0.183311152,169.0
Chocolate biscuits,0.076562207,132.0
Chocolate cake,0.076381827,131.0
Chocolate cereals,0.131403449,160.0
Chocolate cheesecake,0.070644648,123.0
Chocolate spread,0.177496136,167.0
Cider,0.035439139,66.0
Coconut milk,0.031716376,61.0
Coconut oil,0.050523868,99.0
Cod,0.464146696,202.0
Cod fish fingers,0.388381724,200.0
Cod fishcakes,0.32328204,194.0
Coffee beans,0.002355944,9.0
Coffee pods,0.029134423,56.0
Cookies,0.1118581,145.0
Cottage cheese,0.353230608,197.0
Cottage pie,0.160678787,164.0
Courgettes,0.047160429,92.0
Couscous,0.048751279,94.0
Cow's milk,0.045234194,84.0
Cracker biscuits,0.115073018,150.0
Crisps,0.061472832,113.0
Croissants,0.053495795,104.0
Cucumber,0.046549751,90.0
Dairy-free cheese,0.206950869,174.0
Dairy-free ice cream,0.059566211,110.0
Dark chocolate,0.044023663,81.0
Doughnuts,0.036905865,69.0
Egg noodles,0.039880276,72.0
Eggs,0.121224057,153.0
Falafels,0.011928574,26.0
Feta cheese,0.199619296,172.0
Flapjack,0.069137197,119.0
Frozen chips (french fries),0.007231,18.0
Frozen jacket potatoes,0.002201689,8.0
Frozen mashed potato,0.00661151,14.0
Frozen onion rings,0.012841004,29.0
Frozen potato wedges,0.00504994,12.0
Frozen roast potatoes,0.01469922,35.0
Frozen sweet potato fries,0.016101491,38.0
Fruit cake,0.080470505,133.0
Fruit smoothies,0.025173734,53.0
Garden peas,0.050641037,100.0
Goat's cheese,0.260305125,186.0
Granola,0.072913211,126.0
Grapes,0.006786723,16.0
